epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1897.19,0.43061,0.31409,0.90806,0.97731,0.91034,0.94825,0.87592,0.38574,0.29113,0.88435,0.000201611,0.000201611,0.000201611
73,1922.97,0.43378,0.32562,0.91898,0.97739,0.92402,0.95083,0.87189,0.41183,0.30277,0.90691,0.000189475,0.000189475,0.000189475
74,1948.67,0.43055,0.31798,0.9027,0.97473,0.91017,0.94678,0.86706,0.4137,0.32659,0.90522,0.000177651,0.000177651,0.000177651
75,1974.31,0.42627,0.31763,0.91247,0.97956,0.90326,0.95067,0.8754,0.39675,0.30271,0.88812,0.000166149,0.000166149,0.000166149
76,1999.81,0.43526,0.32044,0.91716,0.97943,0.90093,0.95312,0.88619,0.39006,0.29394,0.8867,0.000154982,0.000154982,0.000154982
77,2025.92,0.43926,0.32677,0.91364,0.96971,0.9091,0.95071,0.87572,0.41525,0.30512,0.92234,0.000144161,0.000144161,0.000144161
78,2051.5,0.42374,0.31577,0.91108,0.97786,0.90933,0.94749,0.87224,0.40127,0.31014,0.89533,0.000133695,0.000133695,0.000133695
79,2077.01,0.40566,0.30612,0.9001,0.97773,0.91322,0.94529,0.87667,0.39257,0.30327,0.89466,0.000123596,0.000123596,0.000123596
80,2102.59,0.38945,0.28951,0.89316,0.97372,0.91183,0.94928,0.88438,0.39648,0.31116,0.88953,0.000113873,0.000113873,0.000113873
81,2128.24,0.39919,0.29696,0.8968,0.97774,0.92087,0.95338,0.89389,0.35664,0.28618,0.86398,0.000104537,0.000104537,0.000104537
82,2155.04,0.39594,0.28804,0.88859,0.97724,0.92221,0.95227,0.88807,0.3618,0.279,0.8776,9.55951e-05,9.55951e-05,9.55951e-05
83,2180.63,0.39299,0.29844,0.89874,0.96585,0.92149,0.94915,0.88402,0.38141,0.29939,0.8888,8.70577e-05,8.70577e-05,8.70577e-05
84,2206.22,0.39951,0.29896,0.89777,0.98705,0.90733,0.94746,0.88128,0.36458,0.29684,0.88039,7.89327e-05,7.89327e-05,7.89327e-05
85,2232.09,0.39021,0.28836,0.89472,0.97199,0.91611,0.95376,0.88809,0.37491,0.28695,0.89638,7.12282e-05,7.12282e-05,7.12282e-05
86,2257.79,0.37734,0.28363,0.88846,0.98045,0.9155,0.95792,0.89056,0.3684,0.29224,0.88717,6.39518e-05,6.39518e-05,6.39518e-05
87,2283.45,0.37415,0.28273,0.8884,0.97464,0.92003,0.95172,0.88896,0.36351,0.28924,0.88125,5.71106e-05,5.71106e-05,5.71106e-05
88,2309.26,0.37904,0.27956,0.89142,0.97546,0.9201,0.95127,0.88412,0.35875,0.28101,0.87658,5.07115e-05,5.07115e-05,5.07115e-05
89,2335.17,0.3691,0.28582,0.89372,0.97138,0.91961,0.95019,0.88654,0.36949,0.28808,0.88628,4.47606e-05,4.47606e-05,4.47606e-05
90,2361,0.37525,0.27688,0.89593,0.96804,0.92009,0.95262,0.88599,0.36318,0.28615,0.87929,3.9264e-05,3.9264e-05,3.9264e-05
91,2409.54,0.29097,0.22387,0.82945,0.96993,0.92038,0.95078,0.88044,0.3679,0.26428,0.89613,3.4227e-05,3.4227e-05,3.4227e-05
92,2435.67,0.29157,0.22234,0.83328,0.97762,0.91151,0.94935,0.87796,0.36594,0.2709,0.89096,2.96546e-05,2.96546e-05,2.96546e-05
93,2461.23,0.27718,0.20732,0.83127,0.97083,0.91933,0.95044,0.87823,0.36762,0.27976,0.89169,2.55513e-05,2.55513e-05,2.55513e-05
94,2486.84,0.28484,0.21131,0.83262,0.96759,0.91679,0.95145,0.88317,0.36474,0.28043,0.89049,2.19212e-05,2.19212e-05,2.19212e-05
95,2512.39,0.27193,0.20622,0.82122,0.96668,0.91641,0.9529,0.88445,0.36607,0.27587,0.89308,1.87678e-05,1.87678e-05,1.87678e-05
96,2537.94,0.27351,0.19849,0.82241,0.9818,0.91601,0.95321,0.88558,0.35996,0.2699,0.88814,1.60943e-05,1.60943e-05,1.60943e-05
97,2563.59,0.27483,0.20418,0.82986,0.97364,0.91619,0.95209,0.88723,0.35392,0.26893,0.88193,1.39032e-05,1.39032e-05,1.39032e-05
98,2589.19,0.2729,0.19973,0.82545,0.97832,0.91606,0.95369,0.89167,0.34944,0.267,0.8787,1.21968e-05,1.21968e-05,1.21968e-05
99,2614.85,0.2734,0.20063,0.83227,0.97854,0.91631,0.95304,0.89044,0.3474,0.26735,0.87745,1.09768e-05,1.09768e-05,1.09768e-05
100,2640.5,0.26693,0.19888,0.81889,0.97306,0.91656,0.95309,0.89341,0.34797,0.26597,0.87542,1.02443e-05,1.02443e-05,1.02443e-05
